Author,Paper Title
Brian Walker,A safe operating space for humanity
Brian Walker,A safe operating space for humanity
Brian Walker,Global biodiversity scenarios for the year 2100
Brian Walker,"Resilience, adaptability and transformability in social–ecological systems"
Brian Walker,"Resilience, adaptability and transformability in social–ecological systems"
Brian Walker,Catastrophic shifts in ecosystems
Brian Walker,Resilience thinking: sustaining ecosystems and people in a changing world
Brian Walker,"Resilience thinking: integrating resilience, adaptability and transformability"
Brian Walker,From metaphor to measurement: resilience of what to what?
James H. Brown,Toward a metabolic theory of ecology
James H. Brown,A general model for the origin of allometric scaling laws in biology
James H. Brown,Effects of size and temperature on metabolic rate
James H. Brown,On the relationship between abundance and distribution of species
James H. Brown,The effect of digoxin on mortality and morbidity in patients with heart failure
James H. Brown,Macroecology
James H. Brown,Biogeography
James H. Brown,Turnover rates in insular biogeography: effect of immigration on extinction
James H. Brown,Microbial biogeography: putting microorganisms on the map
James H. Brown,Approaching a state shift in Earth’s biosphere
