Author-Paper Id,author_id,Title,Year,Citations
_j5GJoUAAAAJ:UlRcoTO8nVoC,_j5GJoUAAAAJ,Large-scale association analysis identifies new risk loci for coronary artery disease,2013,1718
_j5GJoUAAAAJ:_9cyEV96HHsC,_j5GJoUAAAAJ,Genome-wide association study of blood pressure and hypertension,2009,1619
_j5GJoUAAAAJ:bZtZ2VP7DRgC,_j5GJoUAAAAJ,Fine-mapping type 2 diabetes loci to single-variant resolution using high-density imputation and islet-specific epigenome maps,2018,1539
APhUMtEAAAAJ:NZNkWSpQBv0C,APhUMtEAAAAJ,R&D spillovers and the geography of innovation and production,1996,8584
APhUMtEAAAAJ:oFn-K-OQSCAC,APhUMtEAAAAJ,Innovation and small firms,1990,3686
APhUMtEAAAAJ:V3AGJWp-ZtQC,APhUMtEAAAAJ,Innovation in large and small firms: an empirical analysis,1988,3680
APhUMtEAAAAJ:4aZ_i-5WJEQC,APhUMtEAAAAJ,Innovation and industry evolution,1995,3354
APhUMtEAAAAJ:IsPWOBWtZBwC,APhUMtEAAAAJ,"Innovation in cities:: Science-based diversity, specialization and localized competition",1999,3044
APhUMtEAAAAJ:4DMP91E08xMC,APhUMtEAAAAJ,The geography of innovation,1994,2569
APhUMtEAAAAJ:tkaPQYYpVKoC,APhUMtEAAAAJ,The knowledge spillover theory of entrepreneurship,2009,2350
APhUMtEAAAAJ:HIFyuExEbWQC,APhUMtEAAAAJ,Entrepreneurship and economic growth,2006,2224
APhUMtEAAAAJ:J3LtWjKFLicC,APhUMtEAAAAJ,"Innovation, market structure, and firm size",1987,1967
APhUMtEAAAAJ:U4n9YNQMCAIC,APhUMtEAAAAJ,Knowledge spillovers and the geography of innovation,2004,1922
YmoiCIcAAAAJ:86PQX7AUzd4C,YmoiCIcAAAAJ,Structural holes,2018,35751
YmoiCIcAAAAJ:k8Z6L05lTy4C,YmoiCIcAAAAJ,Not so different after all: A cross-discipline view of trust,1998,15979
YmoiCIcAAAAJ:HDshCWvjkbEC,YmoiCIcAAAAJ,Structural holes and good ideas,2004,8000
YmoiCIcAAAAJ:UeHWp8X0CEIC,YmoiCIcAAAAJ,The network structure of social capital,2000,7090
YmoiCIcAAAAJ:q3oQSFYPqjQC,YmoiCIcAAAAJ,The contingent value of social capital,2009,6094
YmoiCIcAAAAJ:4OULZ7Gr8RgC,YmoiCIcAAAAJ,Brokerage and closure: An introduction to social capital,2007,5730
YmoiCIcAAAAJ:b1wdh0AR-JQC,YmoiCIcAAAAJ,Social contagion and innovation: Cohesion versus structural equivalence,1987,3743
YmoiCIcAAAAJ:1yQoGdGgb4wC,YmoiCIcAAAAJ,Structural holes versus network closure as social capital,2017,3491
YmoiCIcAAAAJ:mVmsd5A6BfQC,YmoiCIcAAAAJ,Toward a structural theory of action,1982,3445
YmoiCIcAAAAJ:tS2w5q8j5-wC,YmoiCIcAAAAJ,Network items and the general social survey,1984,1819
xsQ0B9IAAAAJ:cww_0JKUTDwC,xsQ0B9IAAAAJ,Reflexive methodology: New vistas for qualitative research,2017,12519
xsQ0B9IAAAAJ:2osOgNQ5qMEC,xsQ0B9IAAAAJ,Tolkning och reflektion: vetenskapsfilosofi och kvalitativ metod,2008,9464
xsQ0B9IAAAAJ:9yKSN-GCB0IC,xsQ0B9IAAAAJ,Understanding organizational culture,2012,4763
xsQ0B9IAAAAJ:UeHWp8X0CEIC,xsQ0B9IAAAAJ,Identity regulation as organizational control: Producing the appropriate individual,2002,3907
xsQ0B9IAAAAJ:qSd0DAb9jMoC,xsQ0B9IAAAAJ,Doing critical management research,1999,3416
xsQ0B9IAAAAJ:IjCSPb-OGe4C,xsQ0B9IAAAAJ,Varieties of discourse: On the study of organizations through discourse analysis,2000,2926
xsQ0B9IAAAAJ:WF5omc3nYNoC,xsQ0B9IAAAAJ,"Beyond neopositivists, romantics, and localists: A reflexive approach to interviews in organizational research",2003,2710
xsQ0B9IAAAAJ:UebtZRa9Y70C,xsQ0B9IAAAAJ,"Managing managerial identities: Organizational fragmentation, discourse and identity struggle",2003,2470
xsQ0B9IAAAAJ:BqipwSGYUEgC,xsQ0B9IAAAAJ,Generating research questions through problematization,2011,2354
xsQ0B9IAAAAJ:qjMakFHDy7sC,xsQ0B9IAAAAJ,Making sense of management: A critical introduction,2012,2214
AZxJWdcAAAAJ:u5HHmVD_uO8C,AZxJWdcAAAAJ,Common method biases in behavioral research: a critical review of the literature and recommended remedies.,2003,75923
AZxJWdcAAAAJ:UeHWp8X0CEIC,AZxJWdcAAAAJ,Sources of method bias in social science research and recommendations on how to control it,2012,13281
AZxJWdcAAAAJ:u-x6o8ySG0sC,AZxJWdcAAAAJ,Individual-and organizational-level consequences of organizational citizenship behaviors: A meta-analysis.,2009,3664
AZxJWdcAAAAJ:qjMakFHDy7sC,AZxJWdcAAAAJ,Construct measurement and validation procedures in MIS and behavioral research: Integrating new and existing techniques,2011,3592
AZxJWdcAAAAJ:9yKSN-GCB0IC,AZxJWdcAAAAJ,A meta-analytic test of the challenge stressor–hindrance stressor framework: An explanation for inconsistent relationships among stressors and performance,2005,3054
AZxJWdcAAAAJ:d1gkVwhDpl0C,AZxJWdcAAAAJ,"Differential challenge stressor-hindrance stressor relationships with job attitudes, turnover intentions, turnover, and withdrawal behavior: a meta-analysis.",2007,2637
AZxJWdcAAAAJ:Y0pCki6q_DkC,AZxJWdcAAAAJ,The relationship between pay and job satisfaction: A meta-analysis of the literature,2010,1165
AZxJWdcAAAAJ:2osOgNQ5qMEC,AZxJWdcAAAAJ,The influence of management journals in the 1980s and 1990s,2005,1025
AZxJWdcAAAAJ:IjCSPb-OGe4C,AZxJWdcAAAAJ,"Relationships between leader reward and punishment behavior and subordinate attitudes, perceptions, and behaviors: A meta-analytic review of existing and new research",2006,699
AZxJWdcAAAAJ:M3ejUd6NZC8C,AZxJWdcAAAAJ,"Recommendations for creating better concept definitions in the organizational, behavioral, and social sciences",2016,668
